Districts Search Results,,,,,,,,,,,,,,,,
Mon May 09 2022 at 3:16:26 PM,,,,,,,,,,,,,,,,
"130 results exported. Export results are limited to 11,000 records.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NCES District ID,State District ID,District Name,County Name,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Students,Teachers,Schools,Locale Code,Locale,Student Teacher Ratio,Type
5301200,WA-04129,Lake Chelan School District,Chelan County,303 E JOHNSON AVE,CHELAN,WASHINGTON,98816,0369,(509)682-3515,1454,88.13,6,41,41-Rural: Fringe,16.5,1-Regular local school district that is NOT a component of a supervisory union
5307050,WA-14097,Lake Quinault School District,Grays Harbor County,6130 HWY 101 N,AMANDA PARK,WASHINGTON,98526,0038,(360)288-2260,213,14.72,1,43,43-Rural: Remote,14.47,1-Regular local school district that is NOT a component of a supervisory union
5304200,WA-31004,Lake Stevens School District,Snohomish County,12309 22ND ST NE,LAKE STEVENS,WASHINGTON,98258,    ,(425)335-1500,9606,472.29,15,22,22-Suburb: Mid-size,20.34,1-Regular local school district that is NOT a component of a supervisory union
5300313,WA-17937,Lake Washington Institute of Technology,King County,11605 132ND AVE NE,KIRKLAND,WASHINGTON,98034,    ,(425)739-8100,812,0,2,21,21-Suburb: Large,0,8-Other education agencies
5304230,WA-17414,Lake Washington School District,King County,16250 NE 74TH ST,REDMOND,WASHINGTON,98052,    ,(425)936-1200,31851,1728.32,56,21,21-Suburb: Large,18.43,1-Regular local school district that is NOT a component of a supervisory union
5304710,WA-09207,Mansfield School District,Douglas County,491 RD 14NE,MANSFIELD,WASHINGTON,98830,0188,(509)683-1012,102,12,1,43,43-Rural: Remote,8.5,1-Regular local school district that is NOT a component of a supervisory union
5304740,WA-04019,Manson School District,Chelan County,135 S. HILL STREET,MANSON,WASHINGTON,98831,9668,(509)687-3140,664,41.66,3,32,32-Town: Distant,15.94,1-Regular local school district that is NOT a component of a supervisory union
5304800,WA-23311,Mary M Knight School District,Mason County,2987 W MATLOCK BRADY RD,ELMA,WASHINGTON,98541,9713,(360)426-6767,1834,46.64,2,13,13-City: Small,39.32,1-Regular local school district that is NOT a component of a supervisory union
5304860,WA-31025,Marysville School District,Snohomish County,4220 80TH ST NE,MARYSVILLE,WASHINGTON,98270,3498,(360)965-0000,10990,595.76,23,22,22-Suburb: Mid-size,18.45,1-Regular local school district that is NOT a component of a supervisory union
5304890,WA-14065,McCleary School District,Grays Harbor County,611 S MAIN ST,MCCLEARY,WASHINGTON,98557,9524,(360)495-3204,347,21.05,1,42,42-Rural: Distant,16.48,1-Regular local school district that is NOT a component of a supervisory union
5304980,WA-17400,Mercer Island School District,King County,4160 86TH AVE SE,MERCER ISLAND,WASHINGTON,98040,4196,(206)236-3300,4496,244.06,6,21,21-Suburb: Large,18.42,1-Regular local school district that is NOT a component of a supervisory union
